"Category","Path","Filter","MipMaps","EffCompression","EffFormat","AndroidOverride","Issues"
"Character","Assets/_Project/Art/CharacterIcons/icon_anty_cype.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_bouclar.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_daupou.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_frigor.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_kram_hoisi.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_lans_himmer.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_leuk.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_loup_zeur.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_lumino.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_morgan.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_phil_antrope.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_revvie.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_ronss.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_shado.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_spenda.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_tribulle.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon_zoneur.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/CharacterIcons/icon-pusam_air.png","0","0","1","-1","0","Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitantycype.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitbouclar.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitdaupou.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitfrigor.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitkramhoisi.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitlanshimmer.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitleuk.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitloupzeur.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitlumino.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
